IBGE,NUMERO,UF,MUNICIPIO,CNES,NOME FANTASIA,RAZAO SOCIAL,LOGRADOURO,NUMERO_1,BAIRRO,CEP,LATITUDE,LONGITUDE
350850,409,SP,CACAPAVA,3814300,RICARDO ARNOLDO DE FREITAS PENTAGNA,RICARDO ARNOLDO DE FREITAS PENTAGNA,AVENIDA CIDADE DE SAO PAULO,100,VILA RESENDE,12282010,4069654,-7393086
354850,410,SP,SANTOS,3814440,NEYSA DE CAMPOS MELLO,NEYSA DE CAMPOS MELLO,RUA DOUTOR CARVALHO DE MENDONCA,189,ENCRUZILHADA,11070100,40707066,-73945885
351960,411,SP,IBITINGA,3814998,CLINICA ODONTOLOGICA LUCIANE BRIGUELI MARRONE GUIMARAES,LUCIANE BRIGUELI MARRONE GUIMARAES,AVENIDA 7 DE SETEMBRO,760,CENTRO,14940157,40612057,-741323
351960,412,SP,IBITINGA,3815072,CLINICA ODONTOLOGICA MARTA FRANCO DA ROCHA ZANI IBITINGA,MARTA FRANCO DA ROCHA,RUA DANIEL DE FREITAS,716,CENTRO,14940145,40898994,-7385573
351340,413,SP,CRUZEIRO,3815285,CLINICA DE CIRURGIA SANTO ANTONIO,CLINICA DE CIRURGIA SANTO ANTONIO S C LTDA,M,R FRANCISCO NOVAES,157,VILA PAULISTA,40586586,-7393542
355030,414,SP,SAO PAULO,3815323,CONS MEDICO PERCY ARANTES SALVIANO,PERCY ARANTES SALVIANO,RUA ERNESTO ZUANELLA,182,PARQUE CONTINENTAL,5327070,40680016,-7387743
355030,415,SP,SAO PAULO,3815501,JLC MEDICOS ASSOCIADOS,JLC MEDICOS ASSOCIADOS SOCIEDADE SIMPLES,M,AMADEU AMARAL,47,BELA VISTA,40722015,-7385564
355410,416,SP,TAUBATE,3815722,CLINICA JACQUES FELIX LTDA TAUBATE,CLINICA JACQUES FELIX LTDA,,M,RUA DR URBANO FIGUEIRA,68,40609535,-7375372
353430,417,SP,ORLANDIA,3815757,CENTRO ODONTOLOGICO GENUINO NOGUEIRA ORLANDIA,PREFEITURA MUNICIPAL DE ORLANDIA,M,AVENIDA F,924,JD BOA VISTA,4065484,-739597
355030,418,SP,SAO PAULO,3815838,LANERA E BINOTTI CENTRO DE DIAGNOSTICOS,LANERA E BINOTTI CENTRO DE DIAGNOSTICOS LTDA,,M,RUA DOS CAMPINEIROS,209,4067258,-7389122
355410,419,SP,TAUBATE,3815854,CLINICA DE ENDOCRINOLOGIA PEDIATRICA DE TAUBATE LTDA,CLINICA DE ENDOCRINOLOGIA PEDIATRICA DE TAUBATE LTDA,,M,AV JOHN FITZGERALDO KENNEDY,881,4087469,-738865
355030,420,SP,SAO PAULO,3815862,CLINICA ESPEC FERNANDO CEZAR FRANCO,FERNANDO CEZAR FRANCO,RUA APENINOS,664,PARAISO,1533000,406125,-7398053
355410,421,SP,TAUBATE,3815889,CLINICA WENKE WENKE GINECOLOGIA TAUBATE,WENKE WENKE LTDA,,M,RUA DUQUE DE CAXIAS,60,4079193,-7393759
355250,422,SP,SUZANO,3815897,CONSULTORIO ODONTOLOGICO RICARDO JUNGI HAYASHI SUZANO,RICARDO JUNGI HAYASHI,RUA GENERAL FRANCISCO GLICERIO,1825,CENTRO,8674003,40682495,-7398786
352710,423,SP,LINS,3633977,ELAINE CRISTINA FASSA CANTEIRO PEREIRA CALCAS,ELAINE CRISTINA FASSA CANTEIRO PEREIRA CALCAS,RUA NOROARA,57,LABATE,16400567,4075123,-739366
350160,424,SP,AMERICANA,2033771,RADIOLOGIA SIDNEY DE SOUZA ALMEIDA,RADIOLOGIA SIDNEY DE SOUZA ALMEIDA LTDA,,M,RUA PRIMO PICOLLI,90,40739494,-7397663
354140,425,SP,PRESIDENTE PRUDENTE,3686892,CONSULTORIO MEDICO ARLENE TANURE CORREA LUCARELLI,ARLENE TANURE CORREA LUCARELLI,RUA FRANCISCO GOMES,75,JARDIM PAULISTANO,19013780,40850822,-7390147
354220,426,SP,RANCHARIA,2081873,HOSPITAL E MATERNIDADE DE RANCHARIA,HOSPITAL E MATERNIDADE DE RANCHARIA,,E,RUA MARIO CEZAR DE CAMARGO,1559,40744385,-7388608
350635,427,SP,BERTIOGA,2084813,VIGILANCIA EPIDEMIOLOGICA,PREFEITURA MUNICIPAL DE BERTIOGA,M,RUA JORGE FERREIRA,60,CENTRO,40857903,-7386468
354890,428,SP,SAO CARLOS,2083531,LABORATORIO CDL,CDL CENTRO DIAGNOSTICO LABORATORIAL SC LTDA,,M,AV DR TEIXEIRA DE BARROS,595,4085095,-7386681
352900,429,SP,MARILIA,3856208,CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR CEREST,PREFEITURA MUNICIPAL DE MARILIA,M,RUA SERGIPE,895,CENTRO,40694843,-7384735
355030,430,SP,SAO PAULO,3916200,CLINICA PAULISTA DE HEMATOLOGIA E CITODIAGNOSTICO,CLINICA PAULISTA DE HEMATOLOGIA E CITODIAGNOSTICO SC LTDA,,M,RUA LEANDRO DUPRET,204,40703598,-740144
352710,431,SP,LINS,3936384,ROBERVAL ADAS,ROBERVAL ADAS,RUA DOUTOR MACHADO BITENCOURT,48,CENTRO,16400150,40744667,-73931694
352710,432,SP,LINS,3936406,FABIO TOBIAS PERASSI,FABIO TOBIAS PERASSI,RUA DOUTOR MACHADO BITENCOURT,48,CENTRO,16400150,4069802,-7397499
352710,433,SP,LINS,3936414,VALERIA GELAIN,VALERIA GELAIN,RUA RODRIGUES ALVES,192,CENTRO,16400090,4066626,-7399596
352430,434,SP,JABOTICABAL,3936678,VERIDIANA BORBA MARTINS CRUZ,VERIDIANA BORBA MARTINS CRUZ,AV MAJOR NOVAES,1223,CENTRO,14870080,40888596,-7389068
352590,435,SP,JUNDIAI,3936716,CONSULTORIO DE PSICOLOGIA MARIA LUCIA DAL SANTO ARANTES,MARIA LUCIA DAL SANTO ARANTES,RUA BARAO DE TEFFE,404,ANHANGABAU,13208760,,
355030,436,SP,SAO PAULO,3936813,CONS MEDICO RONALDO GOLCMAN CIRURGIA PLASTICA,DR RONALDO GOLCMAN CIRURGIA PLASTICA SS LTDA,,M,RUA PARA,65,40593357,-740966
355030,437,SP,SAO PAULO,3936872,CLINICA FIORI DURANTE,CLINICA FIORI DURANTE E CIA LTDA,,M,RUA MINISTRO HEITOR BASTOS TIGRE,432,4075592,-7390251
355030,438,SP,SAO PAULO,3936902,CONS FONO PATRICIA BONADIO,PATRICIA BONADIO,RUA JORGE AUGUSTO,83,PENHA,3645000,4065731,-7389965
355030,439,SP,SAO PAULO,3936953,CONS FISIO HELENA EJZENBAUM,HELENA EJZENBAUM,R DR BRASILIO MACHADO,389,SANTA CECILIA,1230010,4063201,-7401318
352590,440,SP,JUNDIAI,3937011,CONSULTORIO ODONTOLOGICO SIMONE CRISTINE R DE AVILA PEREIRA,SIMONE CRISTINE RUZZA DE AVILA PEREIRA,RUA PRESIDENTE EPITACIO,39,VL MANFREDI,13206400,4075203,-7392915
355030,441,SP,SAO PAULO,3937038,ZDI DIAGNOSTICO POR IMAGEM,ZDI DIAGNOSTICO POR IMAGEM LTDA,,M,PADRE ADELINO,902,4065851,-7389081
355060,442,SP,SAO ROQUE,3937100,ADAS SAO ROQUE,ADAS ASSOCIACAO DE DEFICIENTES AUDITIVOS DE SAO ROQUE,,M,RUA BENTO ANTONIO PEREIRA,118,40802853,-7394907
355030,443,SP,SAO PAULO,3937135,CONS MEDICO KOSMISKAS DE GINECO E OBSTETRICIA,CLINICA KOSMISKAS DE GINECOLOGIA E OBSTETRICIA SS LTDA,,M,BORGES LAGOA,1070,40626568,-73970924
355030,444,SP,SAO PAULO,3937178,CONS MEDICO CARLOS D APPARECIDA,CARLOS D APPARECIDA SANTOS MACHADO FILHO,RUA VIEIRA DE MORAES,1196,CAMPO BELO,4617003,40798626,-7393953
355030,445,SP,SAO PAULO,3937194,CLINICA DERMATOLOGICA MALBA BERTINO LTDA,CLINICA DERMATOLOGICA MALBA BERTINO LTDA,,M,RUA PADRE JOAO MANUEL,450,4066009,-7377416
355030,446,SP,SAO PAULO,3937208,CEPMUSP CENTRO PAULISTA DE MEDICINA E CIRURGIA,CEPMUSP CENTRO PAULISTA DE MEDICINA E CIRURGIA SS LTDA,,M,AVENIDA INDIANOPOLIS,2244,40848682,-73939224
355030,447,SP,SAO PAULO,3937224,CONS MEDICO ARGENE MARIZA COTRIN MARTINS,ARGENE MARIZA COTRIN MARTINS,RUA DOUTOR DIOGO DE FARIA,55,VILA MARIANA,4037000,,
355030,448,SP,SAO PAULO,3937232,CLINICA DR FABIO NEGRELLI,CLINICA DR FABIO NEGRELLI SS LTDA,,M,RUA OTAVIO TARQUINIO DE SOUZA,1046,40586746,-7381712
351840,449,SP,GUARATINGUETA,3937429,LUCIANO DA CUNHA,LUCIANO GALVAO FELIX DA CUNHA,RUA MARCIOLIO DIAS,8,CENTRO,12501110,40713634,-7394595
355240,450,SP,SUMARE,3937496,CONSULTORIO MEDICO PEDRO PAULO DOS SANTOS SUMARE,PEDRO PAULO DOS SANTOS,RUA JOAO FRANCISCO RAMOS,117,CENTRO,13170028,4075859,-7399095
355240,451,SP,SUMARE,3937518,PRO CONSULTA ESP MEDICAS LTDA,PRO CONSULTA ESPECIALIDADES MEDICAS LTDA,,M,RUA IPIRANGA,132,40716557,-7382869
351840,452,SP,GUARATINGUETA,3937976,ESF JOSE BENEDITO REIS,PREFEITURA MUNICIPAL DE GUARATINGUETA,M,RUA BARAO DA BOCAINA,65,JARDIM TAMANDARE,40683125,-7398744
352440,453,SP,JACAREI,3938379,PLINIO CAMBAUVA,PLINIO CAMBAUVA,RUA ANTONIO NUNES DE MORAES,20,JD PEREIRA DO AMPARO,12327693,4073419,-7378355
352590,454,SP,JUNDIAI,3938662,CONSULTORIO ODONTOLOGICO VICENTE DE OLIVEIRA JUNIOR,VICENTE DE OLIVEIRA JUNIOR,RUA ITIRAPINA,1185,CIDADE LUIZA,13214101,4085795,-7392727
352590,455,SP,JUNDIAI,3939065,CONSULTORIO ODONTOLOGICO IRINEU POLO,IRINEU POLO,RUA MARIO BORIN,500,CHACARA URBANA,13209030,40758976,-7399394
352590,456,SP,JUNDIAI,3939138,CONSULTORIO ODONTOLOGICO MARCO ANTONIO GARCIA PEREIRA,MARCO ANTONIO GARCIA PEREIRA,RUA TIRADENTES,619,VL RIO BRANCO,13215370,4068777,-7398701
355030,457,SP,SAO PAULO,3939170,ROSSLYN SERVICOS MEDICOS LTDA,ROSSLYN SERVICOS MEDICOS LTDA,,M,RUA VERGUEIRO,3086,407661,-738118
355030,458,SP,SAO PAULO,3939197,COOPERATIVA INTER ACAO,INTER ACAO SOC COOP TRAVB SERVICOS NA AREA DA SAUDE,,M,AV BRIGADEIRO LUIS ANTONIO,4899,40619984,-7396427
355030,459,SP,SAO PAULO,3939219,AGE CENTRO DE OFTALMOLOGIA AVANCADA,AGE CENTRO DE OFTALMOLOGIA AVANCADA S S LTDA ME,,M,R MAESTRO CARDIM,592,40670994,-7388004
355030,460,SP,SAO PAULO,3939294,CONS MEDICO LIZ E LIA MIRIM,LIZ E LIA MIRIM SC LTDA,,M,AVENIDA PAULISTA,2644,40625137,-7400957
355030,461,SP,SAO PAULO,3939359,CONS MEDICO LUCIANA NICOLETTI DE CARVALHO LOPES,LUCIANA NICOLETTI DE CARVALHO LOPES,PC SANTO AGOSTINHO,70,ACLIMACAO,1533070,40617786,-7408111
354390,462,SP,RIO CLARO,3939375,CLINICA SCATOLIN,CARLOS ALBERTO SCATOLIN,RUA 12,1385,SANTA CRUZ,13500250,40692707,-7380425
355030,463,SP,SAO PAULO,3939383,CONS MEDICO TOMAZ WILSON GUZZI,TOMAZ WILSON GUZZI,R TIJUCO PRETO,778,TATUAPE,3316000,40887413,-7390721
355030,464,SP,SAO PAULO,3939405,CONS MEDICO ISABELLA GIARDULLI SICHMAN,ISABELLA GIARDULLI SICHMAN,RUA DONA EPONINA A FONSECA,266,GRANJA JULIETA,4702010,40737785,-73982765
355030,465,SP,SAO PAULO,3939413,IPOG,INSTITUTO DE PESQUISA EM ONCOLOGIA GINECOLOGICA LTDA,,M,RUA ARAGUARI,835,40665134,-7399669
355030,466,SP,SAO PAULO,3939448,CLINICA DE MICROCIRURGIA OCULAR,CLINICA DE MICROCIRURGIA OCULAR LTDA,M,R BAROA DE JUNDIAI,291,LAPA,,
355030,467,SP,SAO PAULO,5643074,CONS MEDICO PAULA REGINA,PAULA REGINA COLOMBI ORLANDO,AV PARADA PINTO,135,VL NOVA CACHOEIRINHA,2611000,40795055,-7393317
355030,468,SP,SAO PAULO,5645069,FLEURY MEDICINA E SAUDE UNIDADE CHACARA KLABIN,FLEURY S A,M,AV PREFEITO FABIO PRADO,538,CHACARA KLABIN,40635517,-73963356
353050,469,SP,MOCOCA,5645867,CLINICA DE FISIOTERAPIA BOTT MOCOCA,CLINICA DE FISIOTERAPIA BOTT S S LTDA,,M,R VISCONDE DO RIO BRANCO,1242,40848164,-7390067
354630,470,SP,SANTA CRUZ DAS PALMEIRAS,5647665,CONSULTORIO ODONTOLOGICO LILIANA D D ISNARD S C PALMEIRAS,LILIANA DUPAS DEPERON ISNARD,RUA MONTEIRO DE BARROS,389,CENTRO,13650000,4063552,-740167
354630,471,SP,SANTA CRUZ DAS PALMEIRAS,5647673,CONSULTORIO ODONTOLOGICO PAULO R P ISNARD S C PALMEIRAS,PAULO RICARDO PIERONI ISNARD,RUA MONTEIRO DE BARROS,388,CENTRO,13650000,40754177,-73984604
352590,472,SP,JUNDIAI,3842355,CONSULTORIO DE PSICOLOGIA DIRCE MARIA THOMASETO,DIRCE MARIA THOMASETO,RUA ABILIO FIGUEIREDO,92,ANHANGABAU,13208140,40687008,-7382219
355410,473,SP,TAUBATE,3909638,CEDIME TAUBATE,CEDIME CENTRO DE ECO DIAGNOSTICO MEDICO LTDA ME,,M,RUA PADRE DIOGO ANTONIO FEIJO,85,4070143,-73886925
355410,474,SP,TAUBATE,3909646,CONSULTORIO ODONTOLOGICO DRA VIRGINIA MAMEDE TAUBATE,VIRGINIA MAMEDE DOS SANTOS,AVENIDA MONTE CASTELO,317,VILA JABUTICABEIRA,12030660,40746246,-7391524
355240,475,SP,SUMARE,3909778,CONS ODONTOLOGICO ANGELA S DE MELO RODRIGUES SUMARE,ANGELA SANCHES DE MELO RODRIGUES,RUA JUSTINO FRANCA,544,CENTRO,13170050,4059582,-7377233
352010,476,SP,IGARAPAVA,3909980,CLINICA SAO JORGE IGARAPAVA,CLINICA SAO JORGE S C LTDA,,M,RUA CERQUEIRA CESAR,488,40698406,-7380647
350610,477,SP,BEBEDOURO,3910091,JOSE LUIS DE MACEDO VIEIRA,JOSE LUIS DE MACEDO VIEIRA,RUA SAO JOAO,79,CENTRO,14700305,40760056,-7397884
350610,478,SP,BEBEDOURO,3910105,SUELI APARECIDA THOMAZ,SUELI APARECIDA THOMAZ,RUA LUCAS EVANGELISTA,832,CENTRO,14700425,4076056,-7396034
352590,479,SP,JUNDIAI,3910288,CONSULTORIO MEDICO JONAS ZULPO,JONAS ZULPO,RUA RANGEL PESTANA,950,CENTRO,13201000,40740185,-73986374
352590,480,SP,JUNDIAI,3910350,CONSULTORIO MEDICO RENATO MARCELO SPADA BONFIM,RENATO MARCELO SPADA BONFIM,RUA MAJOR GUSTAVO ADOLFO STORCH,125,CHACARA URBANA,13209080,40680687,-7384459
352010,481,SP,IGARAPAVA,3910520,CLINICA DE CARDIOLOGIA IGARAPAVA,INSTITUTO DE CARDIOLOGIA E CIRURGIA DE IGARAPAVA LTDA,,M,AVENIDA MACIEL,724,40830738,-739105
355030,482,SP,SAO PAULO,3910741,CONS MEDICO LILIAN BARBOSA CHINARRO,LILIAN BARBOSA CHINARRO,RUA CONSELHEIRO MOREIRA DE BARROS,677,SANTANA,2018012,40721935,-73817055
355030,483,SP,SAO PAULO,3910768,CLINICA ESPEC JD AVELINO,PRISCILA REGINA GROKOWSKI GUEDES,RUA JOAO BATISTA MENDO,35,JARDIM AVELINO,3227040,40626106,-73994225
355030,484,SP,SAO PAULO,3910806,CONS ODONTO ESTER MARIA DE SOUSA FERREIRA,ESTER MARIA DE SOUSA FERREIRA,R JOAO ALVARES SOARES,1112,CAMPO BELO,4609002,4090026,-7388645
354940,485,SP,SAO JOAQUIM DA BARRA,3910903,CONSULTORIO ODONTOLOGICO RENATO COSTA MAZIER,RENATO COSTA MAZIER,RUA SERGIPE,886,CENTRO,14600000,40735283,-7385984
351440,486,SP,DRACENA,3911004,ALCIDES SORIANO EIRELI EPP,ALCIDES SORIANO EIRELI EPP,,M,RUA IPIRANGA,1131,40633232,-7401192
353440,487,SP,OSASCO,3911071,DRA NEUSA FERNANDES SILVA,DRA NEUSA FERNANDES SILVA,RUA DONA PRIMITIVA VIANCO,244,CENTRO,6016000,4075663,-7392531
351340,488,SP,CRUZEIRO,3911799,CEPAT DST HIV AIDS HEPATITES VIRAIS,PREFEITURA MUNICIPAL DE CRUZEIRO,M,R JOAQUIM DO PRADO,91,CENTRO,40666225,-7397552
351340,489,SP,CRUZEIRO,3911802,IOVALE INSTITUTO DE OLHOS DO VALE,OPHTHALMO CENTER CRUZEIRO LTDA,M,FRANCISCO NOVAES,693,CENTRO,40692936,-7387777
351050,490,SP,CARAGUATATUBA,3911985,CIEFI RIO DO OURO II BERNARDO FERREIRA LOUZADA CARAGUATATUBA,PREFEITURA MUNICIPAL DE CARAGUATATUBA,M,RUA HORTO FLORESTAL,S/N,RIO DO OURO,40785465,-7397666
355040,491,SP,SAO PEDRO,3912094,ANA LUISA GOMES E SILVA SAO PEDRO,ANA LUISA GOMES E SILVA,BENJAMIN CONSTANT,522,VILA NOVA,13520000,406466,-7397033
354850,492,SP,SANTOS,3912388,ARTHUR BODSTEIN VILLACA,ARTHUR BODSTEIN VILLACA,AVENIDA CONSELHEIRO NEBIAS,730,BOQUEIRAO,11045002,40711765,-7394248
354850,493,SP,SANTOS,3912426,EDMA HADDAD DAUD,EDMA HADDAD DAUD,RUA GOIAS,225,GONZAGA,11050101,40665165,-73767876
350320,494,SP,ARARAQUARA,3912809,UNIMAGEM,MAXI MEDICAL DIAGNOSTICO POR IMAGEM LTDA,,M,CARVALHO FILHO,1550,40836555,-7394306
355030,495,SP,SAO PAULO,3913007,CS ESCOLA BARRA FUNDA ALEXANDRE VRANJAC,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO PAULO,,M,AV DR ABRAAO RIBEIRO,283,4063465,-7393727
350950,496,SP,CAMPINAS,3913554,RUI ALMEIDA COATTI,RUI ALMEIDA COATTI,RUA DUQUE DE CAXIAS,780,CENTRO,13015311,,
350850,497,SP,CACAPAVA,3913864,SELMA BARROS DE QUEIROZ FERREIRA,SELMA BARROS DE QUEIROZ FERREIRA,RUA CORONEL MANOEL INOCENCIO,614,CENTRO,12281020,40660854,-7397958
354850,498,SP,SANTOS,3913929,PROCORT PROCED E CONSULT EM ORTOP TRAUMATOLOGIA LTDA,PROCORT PROCED E CONSULT EM ORTOP TRAUMATOLOGIA LTDA,,M,AVENIDA CONSELHEIRO NEBIAS,754,4066401,-7399771
353800,499,SP,PINDAMONHANGABA,3914062,DANIEL GUALDA TEIXEIRA PINDAMONHANGABA,DANIEL GUALDA TEIXEIRA,RUA DR JOAO ROMEIRO,238,CENTRO,12400030,40634773,-7408412
353800,500,SP,PINDAMONHANGABA,3914070,CRISTINA MALUF MARCONDES PINDAMONHANGABA,CRISTINA MALUF MARCONDES,RUA RUBIAO JUNIOR,192,CENTRO,12400450,40674,-738721
353800,501,SP,PINDAMONHANGABA,3914089,ROSAMARIA PEREIRA BICUDO LIBRELON PINDAMONHANGABA,ROSAMARIA PEREIRA BICUDO LIBRELON,RUA OSVALDO CRUZ,107,VILA BOURGUESE,12410210,40705246,-7395908
354980,502,SP,SAO JOSE DO RIO PRETO,3914100,CONSULTORIO ODONTOLOGICO DR GERALDO ALVES ANCHIETA FILHO,GERALDO ALVES ANCHIETA FILHO,RUA BERNARDINO DE CAMPOS,2976,CENTRO,15015300,40799698,-7396997
355340,503,SP,TANABI,3914275,ESF DR OSWALDO FEDERICO,PREFEITURA MUNICIPAL DE TANABI,M,RUA LOPES MORENO LOPES,S/N,JARDIM CENTENARIO,4090348,-7385035
350850,504,SP,CACAPAVA,3914682,CENTRO NEUROLOGICO CACAPAVA S C LTDA,CENTRO NEUROLOGICO CACAPAVA S C LTDA,,M,CORONEL MANOEL INOCENCIO,614,,
354850,505,SP,SANTOS,3914755,ULTRA IMAGEM S C LTDA,ULTRA IMAGEM S C LTDA,,M,AVENIDA DOUTOR BERNARDINO DE CAMPOS,562,,
350450,506,SP,AVARE,3915182,CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS AVARE,PREFEITURA MUNICIPAL DA ESTANCIA TURISTICA DE AVARE,M,RUA ACRE,1280,CENTRO,40632393,-739953
355030,507,SP,SAO PAULO,3916006,GP UROLOGIA,GP UROLOGIA SOCIEDADE SIMPLES,,M,RUA BARATA RIBEIRO,237,40709747,-7382057
354850,508,SP,SANTOS,3916111,LEILA ZUQUIM,LEILA ZUQUIM,RUA JURUBATUBA,127,PONTA DA PRAIA,11035101,,
354850,509,SP,SANTOS,3916162,THAIS CRISTINA DE CASTRO CONDE GALVAO,THAIS CRISTINA DE CASTRO CONDE GALVAO,AVENIDA AFONSO PENA,312,BOQUEIRAO,11020000,40671875,-7391414
351310,510,SP,CRAVINHOS,3916294,MARCOS STEIN ODONTOLOGIA CRAVINHOS,MARCOS STEIN,AV PEDRO AMOROSO,615,VILA CLAUDIA,14140000,40592552,-73988
354730,511,SP,SANTANA DE PARNAIBA,3916308,UBS CURURUQUARA,PREFEITURA MUNICIPAL DE SANTANA DE PARNAIBA,M,RUA EL SALVADOR,51,CURURUQUARA,,
353730,512,SP,PENAPOLIS,3916456,CLINICA CASTELO BRANCO LTDA,CLINICA CASTELO BRANCO LTDA,,M,SANTA CASA,864,4089,-73849106
350400,513,SP,ASSIS,3916715,FONTANA DELLA GIOVENTU,FONTANA DELLA GIOVENTU HOSPITAL DE CIRURGIA E ANESTESIA,,M,RUA DA ASSEMBLEIA,480,40807087,-7394178
355030,514,SP,SAO PAULO,3917045,CONS MEDICO DAVID CHVINDELMAN,DAIVD CHVINDELAMN,RUA MARTINICO PRADO,26,HIGIENOPOLIS,1224010,40665253,-73905754
355030,515,SP,SAO PAULO,3917118,CEPS SAPIENS CENTRO DE ESTUDOS E PROMOCAO SOCIAL SS LTDA,CEPS SAPIENS CENTRO DE ESTUDOS E PROMOCAO SOCIAL SS LTDA,,M,RUA VERGUEIRO,981,40855072,-73872055
355030,516,SP,SAO PAULO,3917258,ALTHEA,ALTHEA SC LTDA,M,RUA JOSE JANNARELLI,199,JARDIM GUEDALA,,
355030,517,SP,SAO PAULO,3917282,MAURICIO TOLEDO DE ABREU CARDIOLOGIA,MAURICIO TOLEDO DE ABREU CARDIOLOGIA LTDA,,M,PAULISTA,726,,
355030,518,SP,SAO PAULO,3917339,AYUB CARDIOLOGIA,AYUB CARDIOLOGIA SS LTDA,,M,AV MIN GABRIEL DE REZENDE PASSOS,500,4078169,-73841415
355030,519,SP,SAO PAULO,3917355,CLINICA MEDICA MONTENEGRO,CLINICA MEDICA MONTENEGRO LTDA EPP,,M,RUA ITAPEVA,500,40790585,-7393936
352320,520,SP,ITARARE,3917401,MAYRA PEDROSO PIMENTEL DE MELLO,MAYRA PEDROSO PIMENTEL DE MELLO,RUA SAO PEDRO,378,CENTRO,18460000,40819805,-7392674
355060,521,SP,SAO ROQUE,3917584,ATIVA SAUDE,ATIVA SAUDE ASSISTENCIA MEDICA S S LTDA,,M,RUA MARECHAL DEODORO DA FONSECA,109,4071702,-73830505
351280,522,SP,COSMOPOLIS,3917924,FISIOCLIN S C LTDA,FISIOCLIN FISIOTERAPIA CLINICA E REAB INTEGRADA S C LTDA,,M,RUA MAX HERGERT,965,4063759,-73927864
355030,523,SP,SAO PAULO,3918122,CONS MEDICO ABE FUCHS,ABE FUCHS,AV GAL ATALIBA LEONEL,93,CARANDIRU,2033000,40801754,-7393121
355030,524,SP,SAO PAULO,3918149,CONS ODONTO CARLA MORETTI,CARLA MORETTI,AV PEDROSO DA SILVEIRA,323,PARI,3028050,40584137,-7396386
355030,525,SP,SAO PAULO,3918181,CONS ODONTO CARLOS ROBERTO GROTTI,CARLOS ROBERTO GROTTI,RUA VIEIRA DE MORAIS,420,CAMPO BELO,4617001,4072082,-7398172
355030,526,SP,SAO PAULO,3987337,UNIRADIOGRAPHIC,FACES IMAGINOLOGIA RADIOLOGIA E DOCUMENTACAO LTDA,M,SANTO AMARO,6971,SANTO AMARO,40646,-7397175
354850,527,SP,SANTOS,3987558,NILCEU PEREIRA CASSITAS,NILCEU PEREIRA CASSITAS,RUA LUIZ SUPLICY,75,GONZAGA,11055330,4075822,-7382546
352230,528,SP,ITAPETININGA,3987566,CONS MEDICO QUIRINO DE JESUS LOPES OFTALMO ITAPETININGA,QUIRINO DE JESUS LOPES,RUA VIRGILIO DE REZENDE,437,CENTRO,18200180,40680782,-73975075
352590,529,SP,JUNDIAI,5625912,CONSULTORIO MEDICO VILMA LUCIA GERVASIO RAMOS,VILMA LUCIA GERVASIO RAMOS,AVN HENRIQUE ANDRES,770,JD BRASIL,13201049,,
352590,530,SP,JUNDIAI,5625998,CONSULTORIO DE FONOAUDIOLOGIA SARA AIUB FAGUNDES,SARA AIUB FAGUNDES,RUA RANGEL PESTANA,377,CENTRO,13201000,4066612,-7382225
352590,531,SP,JUNDIAI,5626021,CONSULTORIO DE PSICOLOGIA DIRCE MARIA NARDO DAVID,DIRCE MARIA NARDO DAVID,AVN DR CAVALCANTI,916,CENTRO,13201003,40645103,-7401033
352590,532,SP,JUNDIAI,5626072,CONSULTORIO DE PSICOLOGIA JULIANA MARIA PETRIN,JULIANA MARIA PETRIN,AVN DR CAVALCANTI,916,CENTRO,13201003,406216,-7392327
352590,533,SP,JUNDIAI,5626129,CONSULTORIO MEDICO MARCIO BOVE MIKSCHE,MARCIO BOVE MIKSCHE,RUA ANCHIETA,691,CENTRO,13201804,40647247,-73893196
352590,534,SP,JUNDIAI,5626145,CONSULTORIO ODONTOLOGICO OTHO DUARTE TAVARES,OTHO DUARTE TAVARES,AVN SAO JOAO,358,PONTE DE SAO JOAO,13216000,4076217,-737568
351340,535,SP,CRUZEIRO,5626161,CAIANA ODONTO,CALAIS CAIANA ODONTOLOGIA S S LTDA,,M,THEODORO QUARTIM BARBOSA,1086,4070362,-7376786
351340,536,SP,CRUZEIRO,5626188,ACLIMENES,ACLIMENES CLINICA DE FONOAUDIOLOGIA S S LTDA,,M,AV MAJOR NOVAES,825,40827454,-7393725
351340,537,SP,CRUZEIRO,5626218,EDUCERE,EDUCERE DESENVOLIMENTO HUMANO,,M,RUA FRANCISCO NOVAES,1034,,
351340,538,SP,CRUZEIRO,5626226,FCN FONOAUDIOLOGIA,FCN CLINICA DE FONOAUDIOLOGIA S S LTDA,,M,R MAJOR HERMOGENES,492,40824245,-7382569
355030,539,SP,SAO PAULO,5626277,CONS ODONTO ALCIDES PAIOLA NETO,ALCIDES PAIOLA NETO,AVENIDA NOVE DE JULHO,5483,JARDIM PAULISTA,1407200,40715763,-7374654
352590,540,SP,JUNDIAI,5626285,CONSULTORIO ODONTOLOGICO VIRGINIA MARA MANSO CAMARGO,VIRGINIA MARA MANSO CAMARGO,RUA JOLL FULLER,226,VL BOAVENTURA,13201810,,
352590,541,SP,JUNDIAI,5626358,CONSULTORIO MEDICO CARLOS AUGUSTO MARINO NASCIMENTO,CARLOS AUGUSTO MARINO NASCIMENTO,AVN ANTONIO SEGRE,411,JD BRASIL,13201843,40630363,-7400414
